City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
okhotsk,59.3833,143.3,-16.16,89,100,5.77,RU,36000
tabuk,17.4189,121.4443,20.05,85,75,2.31,PH,28800
dehloran,32.6941,47.2679,19.58,27,100,2.14,IR,12600
oktyabrskiy,54.4815,53.471,1.84,97,100,3.13,RU,18000
lasa,46.6166,10.7002,5.56,64,0,1.06,IT,3600
karratha,-20.7377,116.8463,27.19,83,62,4.43,AU,28800
tasiilaq,65.6145,-37.6368,-3.0,80,90,8.23,GL,-10800
port blair,11.6667,92.75,26.07,81,25,3.63,IN,19800
cape town,-33.9258,18.4232,22.0,68,0,8.23,ZA,7200
avarua,-21.2078,-159.775,26.0,89,100,1.03,CK,-36000
gat,31.61,34.7642,15.0,100,100,2.99,IL,7200
olafsvik,64.8945,-23.7142,3.92,77,100,17.04,IS,0
abu samrah,35.3029,37.1841,12.43,65,98,3.49,SY,7200
barrow,71.2906,-156.7887,-32.0,68,20,3.6,US,-32400
cidreira,-30.1811,-50.2056,25.98,64,57,7.79,BR,-10800
bengkulu,-3.8004,102.2655,24.34,86,100,2.06,ID,25200
ust-uda,54.1742,103.0304,-11.28,95,96,2.38,RU,28800
cockburn town,21.4612,-71.1419,23.25,63,20,5.41,TC,-18000
new norfolk,-42.7826,147.0587,19.0,72,92,3.6,AU,39600
onoda,34.0014,131.1836,5.0,75,20,2.57,JP,32400
guerrero negro,27.9769,-114.0611,18.78,58,74,7.28,MX,-25200
leningradskiy,69.3833,178.4167,-32.23,85,100,3.18,RU,43200
carnarvon,-24.8667,113.6333,26.1,85,100,8.86,AU,28800
bonavista,48.6499,-53.1147,6.0,100,86,1.54,CA,-12600
georgetown,5.4112,100.3354,25.0,69,20,2.87,MY,28800
hobart,-42.8794,147.3294,19.0,72,94,3.6,AU,39600
chapleau,47.8405,-83.4034,0.0,43,90,4.63,CA,-18000
veraval,20.9,70.3667,21.07,49,0,5.55,IN,19800
tashtagol,52.7657,87.8894,-9.18,96,100,1.23,RU,25200
chokurdakh,70.6333,147.9167,-21.07,86,0,8.77,RU,39600
bambous virieux,-20.3428,57.7575,27.0,74,20,4.12,MU,14400
cayenne,4.9333,-52.3333,28.0,69,90,7.2,GF,-10800
nikolskoye,59.7035,30.7861,-12.0,85,20,6.0,RU,10800
ilulissat,69.2167,-51.1,-18.0,32,1,5.14,GL,-10800
port alfred,-33.5906,26.891,21.11,81,57,4.27,ZA,7200
san ignacio,17.1561,-89.0714,26.0,61,20,2.59,BZ,-21600
kapaa,22.0752,-159.319,16.0,82,75,2.57,US,-36000
bethel,41.3712,-73.414,2.78,51,75,4.63,US,-18000
lusambo,-4.9667,23.45,24.27,75,60,0.57,CD,7200
albanel,48.8832,-72.4487,-2.0,54,15,1.54,CA,-18000
padang,-0.9492,100.3543,26.0,94,40,1.03,ID,25200
atuona,-9.8,-139.0333,25.56,71,16,4.63,PF,-34200
erenhot,43.6475,111.9767,-6.97,88,18,6.81,CN,28800
luba,3.4568,8.5547,29.0,79,20,4.12,GQ,3600
upernavik,72.7868,-56.1549,-23.28,71,86,1.85,GL,-10800
katsuura,35.1333,140.3,4.0,48,20,3.6,JP,32400
warren,39.4334,-84.1666,2.78,80,1,6.17,US,-18000
bitung,1.4451,125.1824,25.0,94,40,0.51,ID,28800
cloquet,46.7216,-92.4594,-5.0,86,90,7.72,US,-21600
severo-kurilsk,50.6789,156.125,-12.14,88,96,5.99,RU,39600
tougan,13.0667,-3.0667,31.31,12,41,2.22,BF,0
ihosy,-22.4,46.1167,22.47,88,8,4.24,MG,10800
sobolevo,54.4299,31.8996,-6.77,97,100,7.38,RU,10800
narsaq,60.9167,-46.05,-7.0,45,20,2.44,GL,-10800
sao filipe,14.8961,-24.4956,23.15,76,99,3.47,CV,-3600
omboue,-1.5746,9.2618,26.83,85,82,1.89,GA,3600
zhoucheng,35.9122,116.3117,6.49,54,100,4.29,CN,28800
innisfail,-17.5333,146.0333,24.67,84,100,0.1,AU,36000
provideniya,64.3833,-173.3,-24.44,86,99,11.89,RU,43200
tabory,58.5198,64.5495,-8.98,97,100,3.32,RU,18000
east london,-33.0153,27.9116,22.0,83,75,1.54,ZA,7200
saskylakh,71.9167,114.0833,-40.75,75,0,2.04,RU,32400
kavieng,-2.5744,150.7967,28.22,73,99,3.23,PG,36000
owando,-0.4819,15.8999,24.5,86,88,0.78,CG,3600
caravelas,-17.7125,-39.2481,29.37,58,0,4.79,BR,-10800
yellowknife,62.456,-114.3525,-31.11,68,20,4.63,CA,-25200
shitanjing,39.2342,106.3439,-1.1,76,18,10.66,CN,28800
aklavik,68.2191,-135.0107,-43.0,66,1,2.7,CA,-25200
ribeira grande,38.5167,-28.7,14.0,54,40,2.57,PT,-3600
hami,42.8,93.45,-2.69,84,2,0.53,CN,28800
hasaki,35.7333,140.8333,-2.0,80,20,2.06,JP,32400
peniche,39.3558,-9.3811,13.89,79,100,0.45,PT,0
castro,-24.7911,-50.0119,25.58,80,41,4.42,BR,-10800
melo,-32.3667,-54.1833,23.17,67,57,7.95,UY,-10800
saint-philippe,-21.3585,55.7679,28.0,65,75,3.09,RE,14400
kudahuvadhoo,2.6708,72.8944,27.82,77,100,6.95,MV,18000
lincoln,40.8,-96.667,-3.33,58,1,8.75,US,-21600
itoman,26.1247,127.6694,16.0,63,20,3.09,JP,32400
yaqui,27.3667,-110.1667,23.0,38,40,1.85,MX,-25200
dikson,73.5069,80.5464,-23.0,91,100,4.93,RU,25200
abha,18.2164,42.5053,17.0,59,0,3.6,SA,10800
port elizabeth,-33.918,25.5701,22.0,78,20,2.57,ZA,7200
dingle,10.9995,122.6711,23.65,91,54,3.64,PH,28800
chapais,49.7834,-74.8492,-4.0,58,1,1.54,CA,-18000
saint george,37.1041,-113.5841,10.0,35,0,1.76,US,-25200
ovalle,-30.5983,-71.2003,30.58,26,4,5.04,CL,-10800
kieta,-6.2167,155.6333,26.18,75,100,2.0,PG,39600
chupa,66.27,33.0549,-13.25,94,99,4.42,RU,10800
nabire,-3.3667,135.4833,24.42,89,100,1.41,ID,32400
merauke,-8.4667,140.3333,26.08,88,98,5.84,ID,32400
toktogul,41.8708,72.9402,-0.16,70,56,0.93,KG,21600
taltal,-25.4,-70.4833,22.04,58,27,3.3,CL,-10800
longyearbyen,78.2186,15.6401,-8.0,62,40,6.69,SJ,3600
hazleton,40.9584,-75.9746,1.67,55,1,4.63,US,-18000
beringovskiy,63.05,179.3167,-18.21,93,100,8.37,RU,43200
hamilton,39.1834,-84.5333,2.78,64,90,2.06,US,-18000
sungaipenuh,-2.0833,101.3833,17.93,96,58,1.37,ID,25200
baykit,61.67,96.37,-19.62,88,100,1.09,RU,25200
sal rei,16.1833,-22.9167,23.0,64,90,10.29,CV,-3600
bilibino,68.0546,166.4372,-29.14,73,3,4.57,RU,43200
cabedelo,-6.9811,-34.8339,32.0,55,20,5.66,BR,-10800
vao,-22.6667,167.4833,25.9,86,12,9.01,NC,39600
omsukchan,62.5333,155.8,-24.81,87,100,2.13,RU,39600
kingisepp,59.3733,28.6134,-10.09,96,100,2.29,RU,10800
alekseyevsk,57.8406,108.3492,-18.56,91,100,0.96,RU,28800
dandong,40.1292,124.3947,-8.97,94,0,1.8,CN,28800
tocopilla,-22.092,-70.1979,24.36,45,90,3.13,CL,-10800
henties bay,-22.116,14.2845,18.89,82,80,2.24,NA,7200
keuruu,62.2667,24.7,-13.33,92,0,2.57,FI,7200
khatanga,71.9667,102.5,-34.6,79,0,3.92,RU,25200
faanui,-16.4833,-151.75,27.22,67,11,2.22,PF,-36000
orodara,10.9492,-4.9342,36.0,20,0,2.57,BF,0
goderich,43.7501,-81.7165,-1.0,64,38,4.12,CA,-18000
manadhoo,5.7667,73.3833,27.67,73,78,4.11,MV,18000
hilo,19.7297,-155.09,19.44,82,90,1.54,US,-36000
kalakamati,-20.5929,27.3121,25.0,78,75,1.54,BW,7200
tahta,26.7693,31.5021,18.0,59,40,4.63,EG,7200
sundargarh,22.1167,84.0333,16.15,31,52,2.05,IN,19800
humaita,-7.5061,-63.0208,33.09,53,29,1.03,BR,-14400
mar del plata,-38.0023,-57.5575,23.0,53,0,8.23,AR,-10800
arusha,-3.3667,36.6833,23.0,49,20,1.48,TZ,10800
touho,-20.7833,165.2333,25.44,82,1,2.49,NC,39600
winslow,35.0242,-110.6974,7.22,49,1,2.57,US,-25200
gualeguay,-33.1416,-59.3097,28.04,35,1,5.22,AR,-10800
talnakh,69.4865,88.3972,-30.06,86,97,0.75,RU,25200
skibbereen,51.55,-9.2667,7.0,100,75,2.57,IE,0
pedana,16.2667,81.1667,21.79,71,1,2.94,IN,19800
andapa,-14.65,49.65,21.39,91,85,0.2,MG,10800
inagi,35.6382,139.5078,2.22,64,1,1.54,JP,32400
semey,50.4111,80.2275,-2.55,98,100,1.97,KZ,21600
esperance,-33.8667,121.9,13.0,76,90,2.57,AU,28800
lavrentiya,65.5833,-171.0,-25.49,85,75,7.16,RU,43200
lompoc,34.6391,-120.4579,13.89,66,1,3.56,US,-28800
san patricio,28.017,-97.5169,25.56,64,40,8.75,US,-21600
airai,-8.9266,125.4092,15.64,100,100,1.7,TL,32400
avera,33.194,-82.5271,10.56,34,1,2.06,US,-18000
thurso,58.5927,-3.5259,3.0,81,40,10.29,GB,0
dullewala,31.8359,71.4362,13.03,57,0,0.42,PK,18000
ucluelet,48.9329,-125.5528,6.11,93,90,2.06,CA,-28800
huangnihe,43.5583,128.0239,-17.81,92,83,0.48,CN,28800
puerto leguizamo,-0.1934,-74.7819,25.68,91,100,1.45,CO,-18000
mishkino,55.3389,63.9175,-7.68,98,100,2.69,RU,18000
tazmalt,36.3868,4.3989,15.62,40,63,2.66,DZ,3600
inhambane,-23.865,35.3833,30.0,79,40,3.6,MZ,7200
kirakira,-10.4544,161.9205,25.33,88,100,4.3,SB,39600
kodiak,57.79,-152.4072,-8.0,86,1,3.09,US,-32400
akyab,20.15,92.9,18.46,68,0,1.9,MM,23400
vestmannaeyjar,63.4427,-20.2734,3.0,81,75,12.86,IS,0
cochrane,51.1834,-114.4687,-2.22,73,90,2.57,CA,-25200
coshocton,40.272,-81.8596,1.67,67,64,3.44,US,-18000
alta floresta,-9.8756,-56.0861,32.0,62,40,1.54,BR,-14400
topola,44.2542,20.6825,14.0,67,40,0.51,RS,3600
poum,-20.2333,164.0167,26.75,82,21,6.96,NC,39600
constitucion,-35.3333,-72.4167,22.32,56,60,2.45,CL,-10800
luderitz,-26.6481,15.1594,22.71,53,0,10.96,NA,7200
namibe,-15.1961,12.1522,23.35,71,0,6.36,AO,3600
nome,64.5011,-165.4064,-19.0,55,90,4.63,US,-32400
tuatapere,-46.1333,167.6833,7.15,89,10,1.88,NZ,46800
abu kamal,34.4506,40.9171,13.65,78,100,4.12,SY,7200
kushiro,42.975,144.3747,-10.87,88,2,7.39,JP,32400
udachnyy,66.4167,112.4,-36.73,81,91,2.14,RU,32400
ostrovnoy,68.0531,39.5131,-11.83,93,100,9.14,RU,10800
la ronge,55.1001,-105.2842,-22.0,77,80,1.54,CA,-21600
kathmandu,27.7167,85.3167,9.0,66,20,1.03,NP,20700
carutapera,-1.195,-46.02,30.73,60,41,4.95,BR,-10800
black river,18.0264,-77.8487,27.78,69,20,9.77,JM,-18000
oussouye,12.485,-16.5469,35.0,54,0,3.09,SN,0
igrim,63.1906,64.4162,-17.39,93,98,1.51,RU,18000
umarkot,25.3616,69.7362,17.9,28,0,4.07,PK,18000
mehamn,71.0357,27.8492,-1.0,74,75,9.77,NO,3600
mahebourg,-20.4081,57.7,27.0,74,20,4.12,MU,14400
gambo,4.6482,22.2633,29.69,39,86,2.18,CF,3600
yuci,37.6803,112.7319,-3.0,39,0,2.0,CN,28800
shubarkuduk,49.1447,56.4872,1.12,96,86,2.18,KZ,18000
alyangula,-13.8483,136.4192,27.0,94,40,2.06,AU,34200
arraial do cabo,-22.9661,-42.0278,34.0,54,20,11.32,BR,-10800
magistralnyy,56.1725,107.4458,-15.47,93,100,1.24,RU,28800
elbistan,38.2059,37.1983,1.85,91,100,0.59,TR,10800
collie,-33.3667,116.15,12.78,66,0,4.24,AU,28800
xingcheng,40.6167,120.7167,-0.82,77,0,4.41,CN,28800
victoria,22.2855,114.1577,18.89,84,0,1.34,HK,28800
hambantota,6.1241,81.1185,24.97,73,100,8.89,LK,19800
ulladulla,-35.35,150.4667,19.44,94,56,3.67,AU,39600
plettenberg bay,-34.0527,23.3716,19.49,85,2,1.64,ZA,7200
ende,-8.8432,121.6623,25.76,78,100,1.99,ID,28800
durazno,-33.4131,-56.5006,26.0,50,40,5.66,UY,-10800
pangody,65.85,74.4859,-29.91,87,73,3.31,RU,18000
quthing,-30.4,27.7003,18.92,70,34,1.11,LS,7200
cherskiy,68.75,161.3,-22.8,71,2,5.29,RU,39600
vanimo,-2.6741,141.3028,25.86,81,78,2.29,PG,36000
tambura,5.6,27.4667,30.94,17,41,1.08,SS,7200
tieling,42.2931,123.8414,-6.93,90,0,5.29,CN,28800
menongue,-14.6585,17.691,20.77,69,91,0.59,AO,3600
codrington,-38.2667,141.9667,21.56,54,97,6.48,AU,39600
ancud,-41.8697,-73.8203,26.11,53,0,4.12,CL,-10800
yichun,47.7,128.9,-26.08,87,51,0.83,CN,28800
belyy yar,53.6039,91.3903,-8.0,73,0,1.33,RU,25200
saldanha,-33.0117,17.9442,22.0,64,0,7.72,ZA,7200
rio claro,-22.4114,-47.5614,33.0,52,40,4.12,BR,-10800
tura,25.5198,90.2201,17.09,49,0,1.91,IN,19800
hualmay,-11.0964,-77.6139,24.62,62,93,4.21,PE,-18000
los llanos de aridane,28.6585,-17.9182,19.0,48,20,2.06,ES,0
meulaboh,4.1363,96.1285,25.26,87,85,2.02,ID,25200
paraiso,9.8383,-83.8656,27.0,64,40,8.23,CR,-21600
tabou,4.423,-7.3528,27.56,80,9,3.61,CI,0
pingdu,36.7844,119.9464,3.0,87,0,4.0,CN,28800
dali,25.7,100.1833,6.98,58,0,2.02,CN,28800
severo-yeniseyskiy,60.3725,93.0408,-17.79,94,100,3.16,RU,25200
chumikan,54.7183,135.315,-28.3,76,76,13.19,RU,36000
beyneu,45.3167,55.2,7.86,63,99,4.28,KZ,18000
honiara,-9.4333,159.95,25.25,84,100,2.6,SB,39600
batemans bay,-35.7167,150.1833,17.22,94,40,2.4,AU,39600
denpasar,-8.65,115.2167,25.0,94,40,4.63,ID,28800
katherine,-14.4667,132.2667,26.0,89,90,1.54,AU,34200
glendale,33.5387,-112.186,20.0,32,1,1.54,US,-25200
ixtlan del rio,21.0333,-104.3667,21.0,56,1,0.38,MX,-25200
victor harbor,-35.5667,138.6167,14.44,86,41,0.89,AU,37800
te anau,-45.4167,167.7167,8.95,88,1,0.43,NZ,46800
ierapetra,35.01,25.7353,14.44,74,0,1.08,GR,7200
saint-pierre,-21.3393,55.4781,28.0,65,75,3.09,RE,14400
kalmunai,7.4167,81.8167,24.71,82,100,4.77,LK,19800
karatau,43.1667,70.4667,2.29,77,72,1.34,KZ,21600
punta de bombon,-17.1717,-71.7931,23.01,71,71,3.27,PE,-18000
clyde river,70.4692,-68.5914,-29.0,76,90,3.6,CA,-18000
lahij,13.1667,44.5833,21.0,59,0,2.76,YE,10800
numan,9.4667,12.0333,29.93,14,12,0.88,NG,3600
ponta delgada,37.7333,-25.6667,14.0,72,40,11.83,PT,-3600
klyuchi,52.2667,79.1667,-8.57,96,100,1.2,RU,25200
tres picos,15.8667,-93.5333,31.62,34,0,3.43,MX,-21600
lodja,-3.4833,23.4333,22.85,85,64,0.6,CD,7200
fort-shevchenko,44.5086,50.263,6.56,84,35,3.47,KZ,18000
isangel,-19.55,169.2667,25.46,80,66,2.93,VU,39600
naze,28.3667,129.4833,12.97,69,37,2.12,JP,32400
alofi,-19.0595,-169.9187,24.0,100,100,2.57,NU,-39600
vytegra,61.0064,36.4481,-10.54,96,100,3.82,RU,10800
maraa,-1.8333,-65.3667,29.77,79,100,1.95,BR,-14400
klichka,50.4457,117.996,-20.37,93,92,1.27,RU,32400
haines junction,60.7522,-137.5108,-32.0,68,97,1.03,CA,-25200
acajutla,13.5928,-89.8275,28.0,44,0,4.1,SV,-21600
lata,40.1629,-8.3327,14.44,77,97,0.59,PT,0
seminole,28.7086,-81.2081,18.89,25,1,3.6,US,-18000
midyat,37.4247,41.3393,14.0,51,90,5.14,TR,10800
iqaluit,63.7506,-68.5145,-13.0,85,90,11.83,CA,-18000
nemuro,43.3236,145.575,-9.96,87,44,6.71,JP,32400
nakhon thai,17.1006,100.8374,22.01,49,15,1.44,TH,25200
waipawa,-41.4122,175.5153,14.0,72,90,9.26,NZ,46800
asau,46.4333,26.4,9.0,71,0,3.6,RO,7200
uyemskiy,64.4743,40.8524,-13.0,78,90,7.0,RU,10800
gladstone,-23.85,151.25,23.0,83,40,2.06,AU,36000
moron,-34.6534,-58.6198,28.33,39,0,2.24,AR,-10800
maldonado,-34.6667,-54.9167,24.0,60,75,9.26,UY,-10800
rawson,-43.3002,-65.1023,35.19,14,0,4.24,AR,-10800
flin flon,54.7682,-101.865,-21.0,77,75,4.12,CA,-21600
buraydah,26.326,43.975,23.0,33,40,4.63,SA,10800
okha,53.5739,142.9478,-24.01,88,100,9.38,RU,39600
southbridge,42.0751,-72.0334,2.78,52,29,0.89,US,-18000
poya,-21.35,165.15,24.4,87,10,2.52,NC,39600
adrar,20.5022,-10.0711,28.06,13,39,3.77,MR,0
praia da vitoria,38.7333,-27.0667,12.22,87,75,12.18,PT,-3600
cabo san lucas,22.8909,-109.9124,27.22,36,20,1.54,MX,-25200
ahipara,-35.1667,173.1667,15.0,87,4,1.74,NZ,46800
agadez,19.75,10.25,18.65,24,0,3.15,NE,3600
marawi,7.9986,124.2928,23.33,93,54,2.68,PH,28800
fort nelson,58.8053,-122.7002,-26.0,64,75,1.03,CA,-25200
tezu,27.9167,96.1667,16.85,29,0,2.12,IN,19800
bethal,-26.4579,29.4655,17.78,92,96,2.63,ZA,7200
mazara del vallo,37.6641,12.588,15.0,88,0,5.14,IT,3600
norman wells,65.282,-126.8329,-46.0,65,40,1.54,CA,-25200
chimbarongo,-34.7,-71.05,30.0,45,0,2.57,CL,-10800
greenfield,42.9614,-88.0126,2.22,69,90,6.69,US,-21600
kuching,1.55,110.3333,24.0,100,40,1.03,MY,28800
kaeo,-35.1,173.7833,15.56,92,52,2.24,NZ,46800
houston,29.7633,-95.3633,24.0,60,90,8.75,US,-21600
ternate,0.8,127.4,26.73,79,94,1.9,ID,32400
fare,-16.7,-151.0167,27.16,67,19,2.15,PF,-36000
geraldton,-28.7667,114.6,25.0,31,98,7.72,AU,28800
staryy nadym,65.6118,72.6842,-26.98,89,84,3.66,RU,18000
nanzhang,31.7765,111.8386,8.74,53,93,2.81,CN,28800
anadyr,64.75,177.4833,-18.0,65,75,5.0,RU,43200
sinnamary,5.3833,-52.95,26.6,74,95,6.65,GF,-10800
afrikanda,67.4429,32.7828,-14.97,93,6,4.29,RU,10800
hervey bay,-25.2986,152.8535,21.67,94,20,2.57,AU,36000
inndyr,67.0338,14.0276,-5.56,79,0,4.12,NO,3600
champerico,14.3,-91.9167,29.0,65,40,4.12,GT,-21600
kendari,-3.945,122.4989,24.56,90,100,1.32,ID,28800
mount isa,-20.7333,139.5,29.0,58,45,3.6,AU,36000
richards bay,-28.783,32.0377,24.96,90,100,3.99,ZA,7200
nuuk,64.1835,-51.7216,-12.0,67,1,8.75,GL,-10800
sistranda,63.7256,8.834,-9.0,92,20,4.63,NO,3600
wamba,8.9333,8.6,29.98,13,0,1.36,NG,3600
port hardy,50.6996,-127.4199,4.0,100,90,2.06,CA,-28800
charters towers,-20.1,146.2667,23.19,87,61,4.83,AU,36000
souillac,-20.5167,57.5167,27.0,74,20,4.12,MU,14400
pisco,-13.7,-76.2167,23.33,88,40,3.6,PE,-18000
cururupu,-1.8283,-44.8683,29.5,68,61,3.43,BR,-10800
sanandaj,35.3144,46.9923,8.28,53,99,0.42,IR,12600
mayumba,-3.432,10.6554,26.92,86,60,3.13,GA,3600
xingyi,24.1877,102.817,8.18,90,0,1.54,CN,28800
evensk,61.95,159.2333,-15.96,88,100,13.14,RU,39600
niquero,20.0431,-77.5828,26.44,45,0,6.01,CU,-18000
tagusao,9.1924,117.8141,25.95,83,97,4.52,PH,28800
makakilo city,21.3469,-158.0858,17.0,94,1,1.54,US,-36000
laizhou,37.1717,119.9214,1.84,77,100,5.56,CN,28800
el estor,15.5333,-89.35,26.0,47,0,1.61,GT,-21600
rio grande,-32.035,-52.0986,19.0,88,75,14.4,BR,-10800
yumen,40.2833,97.2,-1.55,64,4,7.26,CN,28800
zhanaozen,43.3,52.8,7.0,75,48,3.62,KZ,18000
svetlaya,46.5389,138.3297,-20.66,83,100,3.54,RU,36000
villazon,-22.0866,-65.5942,16.12,56,84,5.47,BO,-14400
osmena,10.5208,119.9258,26.94,80,38,10.92,PH,28800
ranong,9.9658,98.6348,24.36,85,47,1.92,TH,25200
mezen,65.8522,44.24,-18.64,91,100,5.37,RU,10800
bontang,0.1333,117.5,25.99,81,100,0.79,ID,28800
camabatela,-8.1881,15.375,19.46,93,23,1.81,AO,3600
comarapa,-17.9,-64.4833,15.15,93,100,0.45,BO,-14400
gizo,-8.103,156.8419,27.2,76,100,3.8,SB,39600
birjand,32.8663,59.2211,1.0,15,0,2.06,IR,12600
mogadishu,2.0371,45.3438,25.37,82,0,9.18,SO,10800
niono,14.2526,-5.993,27.87,13,96,0.53,ML,0
auki,-8.7676,160.7034,25.15,85,100,3.8,SB,39600
vila franca do campo,37.7167,-25.4333,14.0,72,40,11.83,PT,-3600
coquimbo,-29.9533,-71.3436,19.0,68,20,5.66,CL,-10800
luau,-10.7073,22.2247,20.64,82,10,0.46,AO,3600
lujiang,31.2581,117.2817,7.78,81,100,4.0,CN,28800
salinas,36.6777,-121.6555,11.67,87,1,1.76,US,-28800
alamor,-4.0181,-80.0197,32.0,55,40,1.03,EC,-18000
duldurga,50.6761,113.5931,-14.36,87,45,2.15,RU,32400
chardara,41.2547,67.9692,9.29,52,2,2.46,KZ,21600
port macquarie,-31.4333,152.9167,18.0,100,76,2.89,AU,39600
beidao,34.5686,105.8933,2.72,62,95,0.87,CN,28800
sakaiminato,35.55,133.2333,1.0,80,20,4.12,JP,32400
saint-francois,46.4154,3.9054,9.44,93,0,1.54,FR,3600
teya,60.3778,92.6267,-16.34,90,100,2.22,RU,25200
san pedro,14.35,121.0167,26.0,73,20,1.03,PH,28800
buala,-8.145,159.5921,25.93,82,99,3.61,SB,39600
snezhnogorsk,69.1933,33.2531,-15.0,85,40,5.09,RU,10800
floro,61.5996,5.0328,-4.0,58,40,5.14,NO,3600
vardo,70.3705,31.1107,-3.0,68,75,7.2,NO,3600
erzin,36.9559,36.2,17.78,53,20,3.7,TR,10800
pervomayskoye,43.919,46.7102,6.26,89,19,2.75,RU,10800
riyadh,24.6877,46.7219,22.0,23,0,3.09,SA,10800
inhuma,-6.6683,-41.7078,31.0,50,61,1.66,BR,-10800
namatanai,-3.6667,152.4333,25.86,80,100,1.07,PG,36000
mareeba,-17.0,145.4333,25.0,88,40,1.03,AU,36000
bourges,47.25,2.4167,10.0,93,0,3.6,FR,3600
